Timestamp,CPU_Perc,Mem_Usage
1780074936000,0.43%,67.46MiB / 7.563GiB
1780074938000,0.50%,68.37MiB / 7.563GiB
1780074941000,8.57%,67.49MiB / 7.563GiB
1780074943000,0.94%,67.76MiB / 7.563GiB
1780074945000,0.27%,68.06MiB / 7.563GiB
1780074947000,0.49%,67.75MiB / 7.563GiB
1780074950000,1.10%,68.32MiB / 7.563GiB
1780074952000,1.10%,67.84MiB / 7.563GiB
1780074954000,0.48%,67.94MiB / 7.563GiB
1780074956000,0.72%,68.86MiB / 7.563GiB
1780074958000,0.41%,67.8MiB / 7.563GiB
1780074961000,0.19%,68.03MiB / 7.563GiB
1780074963000,0.32%,68.38MiB / 7.563GiB
1780074965000,0.32%,68.69MiB / 7.563GiB
1780074968000,0.75%,68.56MiB / 7.563GiB
1780074971000,7.67%,68.82MiB / 7.563GiB
1780074973000,0.76%,68.32MiB / 7.563GiB
1780074975000,0.33%,67.59MiB / 7.563GiB
1780074977000,0.68%,68.12MiB / 7.563GiB
1780074979000,0.64%,67.79MiB / 7.563GiB
1780074982000,0.44%,67.87MiB / 7.563GiB
1780074984000,2.85%,68.45MiB / 7.563GiB
1780074986000,1.00%,67.52MiB / 7.563GiB
1780074988000,0.53%,68.09MiB / 7.563GiB
1780074991000,0.22%,68.15MiB / 7.563GiB
1780074993000,0.58%,67.8MiB / 7.563GiB
1780074995000,0.44%,67.88MiB / 7.563GiB
1780074997000,0.79%,67.8MiB / 7.563GiB
1780075000000,0.47%,68.28MiB / 7.563GiB
1780075002000,0.30%,68.13MiB / 7.563GiB
1780075004000,0.63%,67.97MiB / 7.563GiB
1780075006000,0.45%,68.18MiB / 7.563GiB
1780075008000,0.26%,67.7MiB / 7.563GiB
1780075011000,0.41%,67.96MiB / 7.563GiB
1780075013000,0.46%,68.21MiB / 7.563GiB
1780075015000,0.24%,67.79MiB / 7.563GiB
1780075017000,0.46%,68.02MiB / 7.563GiB
1780075020000,0.64%,67.55MiB / 7.563GiB
